iter	Passed	Remaining
406	6290	24619
407	6307	24612
408	6323	24597
409	6342	24598
410	6356	24576
411	6373	24565
412	6388	24549
413	6402	24529
414	6417	24510
415	6432	24493
416	6447	24474
417	6462	24457
418	6475	24434
419	6490	24416
420	6508	24409
421	6523	24395
422	6540	24382
423	6555	24368
424	6570	24350
425	6586	24337
426	6603	24326
427	6618	24309
428	6632	24287
429	6647	24269
430	6660	24247
431	6677	24235
432	6689	24209
433	6705	24194
434	6723	24187
435	6736	24166
436	6752	24150
437	6767	24135
438	6782	24118
439	6796	24095
440	6811	24080
441	6826	24061
442	6843	24054
443	6859	24038
444	6873	24019
445	6889	24006
446	6905	23993
447	6920	23973
448	6936	23959
449	6951	23942
450	6963	23916
451	6978	23899
452	7008	23932
453	7026	23927
454	7067	23999
455	7121	24112
456	7168	24203
457	7198	24235
458	7228	24267
459	7269	24338
460	7285	24321
461	7301	24306
462	7317	24292
463	7331	24271
464	7346	24251
465	7363	24241
466	7382	24233
467	7402	24232
468	7418	24217
469	7432	24195
470	7446	24172
471	7464	24163
472	7479	24147
473	7495	24129
474	7510	24112
475	7527	24099
476	7544	24088
477	7560	24073
478	7575	24056
479	7592	24043
480	7608	24028
481	7624	24012
482	7644	24010
483	7659	23992
484	7675	23976
485	7690	23958
486	7707	23944
487	7723	23931
488	7739	23916
489	7755	23900
490	7773	23891
491	7787	23869
492	7800	23844
493	7811	23815
494	7825	23793
495	7841	23776
496	7855	23754
497	7872	23745
498	7887	23726
499	7901	23705
500	7914	23681
501	7933	23672
502	7950	23660
503	7963	23638
504	7978	23619
505	7991	23595
506	8005	23573
507	8019	23553
508	8036	23541
509	8052	23527
510	8068	23509
511	8082	23490
512	8098	23474
513	8113	23457
514	8131	23447
515	8147	23431
516	8163	23415
517	8180	23405
518	8196	23388
519	8211	23371
520	8226	23352
521	8240	23332
522	8257	23321
523	8272	23303
524	8289	23288
525	8306	23275
526	8323	23263
527	8339	23250
528	8354	23230
529	8366	23205
530	8383	23192
531	8405	23193
532	8420	23174
533	8438	23165
534	8455	23153
535	8472	23140
536	8486	23120
537	8503	23107
538	8518	23089
539	8535	23078
540	8548	23054
541	8565	23042
542	8583	23032
543	8598	23013
544	8610	22988
545	8625	22969
546	8641	22954
547	8657	22938
548	8672	22921
549	8688	22906
550	8703	22889
551	8718	22871
552	8737	22863
553	8755	22852
554	8771	22838
555	8786	22819
556	8801	22802
557	8815	22780
558	8829	22759
559	8841	22735
560	8858	22723
561	8873	22703
562	8889	22689
563	8905	22675
564	8922	22662
565	8937	22642
566	8952	22626
567	8967	22607
568	8985	22597
569	8997	22573
570	9012	22555
571	9028	22540
572	9044	22523
573	9064	22518
574	9079	22501
575	9095	22485
576	9112	22472
577	9134	22472
578	9149	22454
579	9164	22437
580	9179	22420
581	9195	22404
582	9213	22394
583	9233	22388
584	9249	22372
585	9264	22354
586	9279	22336
587	9295	22322
588	9311	22306
589	9330	22299
590	9345	22279
591	9361	22265
592	9376	22247
593	9393	22233
594	9408	22216
595	9424	22201
596	9440	22185
597	9454	22166
598	9469	22148
599	9487	22136
600	9501	22118
601	9518	22105
602	9535	22091
603	9553	22080
604	9568	22062
605	9581	22041
606	9596	22021
607	9612	22007
608	9626	21987
609	9641	21971
610	9659	21958
611	9675	21943
612	9689	21924
613	9706	21909
614	9721	21893
615	9738	21881
616	9754	21864
617	9772	21852
618	9788	21837
619	9801	21816
